movie_title,title_year,region,budget,gross
Ratha Kanneer,1954,India,27000000.0,78598798.54817852
Don't Look,2018,USA,44000000.0,68457722.28218791
Super Stooges vs the Wonder Women,1974,Italy,84000000.0,27855878.794035595
"It's a Mad, Mad, Mad World",1987,China,2000000.0,3632549.9426663695
Gentle Annie,1944,USA,72000000.0,280190316.6562311
Kookie,2016,Canada,5000000.0,1742598.59820788
Dangerous Passage,1944,USA,12000000.0,52756167.74166459
Hijack,2008,India,61000000.0,66044384.91467358
The Kung Fu Master,2020,India,46000000.0,7568076.721929988
In the Spirit,1990,USA,5000000.0,5576958.352809761
The Kleptocrats,2018,United Kingdom,8000000.0,63377041.792695165
Deep in the Heart,1983,United Kingdom,18000000.0,13590797.67901605
A Dirty Story,1977,France,20000000.0,98724796.45797014
Love Hate,2009,United Kingdom,54000000.0,71206428.10875311
S.O.S.: Women to the Sea 2,2015,Brazil,22000000.0,2296521.938120856
Amanush,2010,India,46000000.0,20706829.845004145
My Pure Land,2017,United Kingdom,15000000.0,27802447.42139454
Conventional,2015,USA,71000000.0,154617995.53571424
Gulyabani,2014,Turkey,10000000.0,5942769.0900174435
Henri Cartier-Bresson: The Impassioned Eye,2003,Switzerland,37000000.0,12726902.100493649
L'avaro,1990,Italy,8000000.0,8099763.595493194
Guns of the Trees,1961,USA,41000000.0,262816657.364696
Armstrong,2017,USA,21000000.0,23909606.369503368
An Ambiguous Report About the End of the World,1997,Czech Republic,33000000.0,8336142.2283572145
Artifacts,2007,Belgium,13000000.0,2690951.776237903
Clockwork,1978,USA,69000000.0,211131675.70425773
Urban Massacre,2002,USA,27000000.0,52059764.49317008
Internet Story,2010,United Kingdom,678000000.0,1421068165.6155505
Nelly's Folly,1961,USA,91000000.0,90928143.45692235
Queen of the Sun: What Are the Bees Telling Us?,2010,USA,41000000.0,28589712.97735537
Imogène McCarthery,2010,France,42000000.0,86825006.52577688
Hare Splitter,1948,USA,18000000.0,35583088.857843965
The Green Wave,2010,Germany,30000000.0,21500185.596615285
And Then,2021,USA,164000000.0,1283291504.0414135
La cambiale,1959,Italy,5000000.0,27469648.30789313
Where Are My Shoes?,2016,Iran,4000000.0,8246481.157728391
Krishnopokkho,2016,Bangladesh,2000000.0,9945946.659548048
Revival,2013,Czech Republic,11000000.0,17288896.376364775
Douche après le bain,1897,France,5000000.0,8536444.756511081
The Brothers Carry-Mouse-Off,1965,USA,229000000.0,114894162.65786809
The Hornbacker-Murphy Fight,1894,USA,3000000.0,1244157.06659219
Coney Island at Night,1905,USA,83000000.0,77907083.07964519
Woolen Under Where,1963,USA,48000000.0,148170450.01793045
Walk With Me,2021,USA,40000000.0,194163864.3429392
Blue Jeans,1975,Italy,74000000.0,26690457.068946574
RK/RKAY,2021,India,2000000.0,648941.0528274087
That's Sexploitation!,2013,USA,22000000.0,164772376.53092095
Frank vs. God,2014,USA,22000000.0,36265414.13855674
Powder River,1953,USA,7000000.0,1099295.4547519495
The Day I Bought a Star,2006,Japan,2000000.0,60836.65747733646
Mumbai Pune Mumbai 3,2018,India,99000000.0,235630450.7808907
